Entity,AttributeName,Attribute
莫氏硬度,应用学科,矿物学
洪湖,地理位置,湖北省
洪湖,集水区国家,中国
洪湖,类型,淡水湖
洪湖,所属流域,长江
洪湖,开放时间,全天
洪湖,地理位置,江汉平原
黄杨属,界,植物界
信号源,中文名,信号发生器
花鳗鲡,界,动物界
花鳗鲡,门,脊索动物门
花鳗鲡,亚门,脊椎动物亚门
花鳗鲡,亚纲,辐鳍亚纲
花鳗鲡,目,鳗鲡目
花鳗鲡,科,鳗鲡科
灶,笔画,7
灶,部首,火
灶,部首笔划,4
有加利,中文学名,桉树
有加利,外文名,Eucalyptus
有加利,界,植物界
有加利,门,被子植物门
有加利,纲,双子叶植物纲
有加利,目,桃金娘目
有加利,科,桃金娘科
有加利,属,桉属
有加利,种,桉树
杉树,繁体,杉
杉树,笔画,7
杉树,部首,木
杉树,界,植物界
杉树,门,种子植物门
杉树,亚 门,裸子植物亚门
杉树,纲,松柏纲
杉树,目,松柏目
杉树,科,柏科
木芍药,中文学名,牡丹
木芍药,界,植物界
永乐镇,所属国,中国
永乐镇,所属市,南充市
永乐镇,主要民族,汉
永乐镇,特色产业,农业
海因茨,性别,男
海因茨,敌人,十月
正午,主演,加里
正午,导演,弗雷德
正午,上映地区,美国
正午,语言版本,英语
艺术大师,上映地区,日本
艺术大师,语言版本,日语
艺术大师,画面颜色,彩色
艺术大师,拍摄地点,日本
艺术大师,制片地点,日本
彭城,又名,涿鹿
彭城,今为,徐州
酒精浓度,含有,乙醇
土鳖虫,界,动物界
土鳖虫,目,蜚蠊目
土鳖虫,科,鳖蠊科
土鳖虫,食性,杂食
土鳖虫,生育方式,卵生
黑儿茶,中文学名,儿茶
黑儿茶,界,植物界
黑儿茶,种,儿茶
青树,上映地区,中国大陆
青树,画面颜色,彩色
莲花,创建时间,1952
莲花,创建地点,英国
莲花,所属行业,汽车
全国劳动模范,简 称,劳模
日本花柏,界,植物界
儿茶酚胺,别名,邻苯二酚
儿茶酚胺,运动员慎用,是
儿茶酚胺,是否处方药,是
山楂叶螨,界,动物界
山楂叶螨,目,蜱螨目
山楂叶螨,科,叶螨科
莱茵,行业,化妆品
黄花鱼,界,动物界
黄花鱼,门,脊索动物门
黄花鱼,亚门,脊椎动物亚门
黄花鱼,纲,硬骨鱼纲
黄花鱼,亚纲,辐鳍亚纲
黄花鱼,目,鲈形目
黄花鱼,亚目,鲈亚目
黄花鱼,科,石首鱼科
黄花鱼,颜色,黄色
逆境,反义词,顺境
鸟巢菌,界,真菌界
鸟巢菌,门,担子菌门
鸟巢菌,纲,担子菌纲
鸟巢菌,目,伞菌目
阿,笔画,7
阿,部首笔划,2
柴草,中文学名,柴胡
柴草,界,植物界
柴草,种,柴胡
四川苏铁,别名,铁树
四川苏铁,界,植物界
天湖,湖泊类型,内流河
天湖,集水区国家,中国
天湖,景区等级,AAA
天湖,开放时间,全天
天湖,开放时间,全天
天湖,景点级别,AAA
滋贺县,所属地区,日本
滋贺县,政府驻地,大津市
谷浑,性别,男
谷浑,国籍,中国
花萼,别名,萼
花萼,界,植物界
花萼,门,被子植物门
Fair,意思,集市
萝,笔画,11
萝,部首笔划,3
萝,词性,名词
菜虫药,中文学名,雷公藤
菜虫药,界,植物界
菜虫药,门,被子植物门
菜虫药,纲,双子叶植物纲
菜虫药,目,卫矛目
菜虫药,科,卫矛科
菜虫药,属,雷公藤属
塬,部首,土
成都军区,所属国家,中国
成都军区,隶属,中央军委
成都军区,规模,大军区
飞机模型,领域,航天
珠海,中文名,珠海市
珠海,行政类别,地级市
珠海,地方方言,粤语
举,笔画,9
稻作,出版社,尖端
稻作,其他出版社,尖端
陈石民,出生日期,1895年
陈石民,性别,男
陈石民,国籍,中国
陈石民,去世日期,1968年
陈石民,政党,中国共产党
王十朋,国籍,中国
王十朋,去世日期,1171年
王十朋,性别,男
王十朋,所处时代,宋朝
王十朋,国籍,中国
轻,笔画,9
轻,部首,车
鹰嘴豆,界,植物界
鹰嘴豆,门,被子植物门
鹰嘴豆,纲,双子叶植物纲
鹰嘴豆,目,蔷薇目
鹰嘴豆,科,豆科
珊瑚菜,界,植物界
外文出版社,成立,1952年
心动悸,发病部位,心脏
公害病,季节分布,四季
公害病,传染病,否
公害病,疫苗预防,否
白屈菜,界,植物界
1957年,生肖,鸡
远安,行政类别,县
梁书,所属年代,南朝
临平,中文名,临平街道
临平,行政区类别,街道
马立克,出生地,麦地那
钾盐,类型,矿物
钾盐,属于,晶体
莆田,中文名,莆田市
莆田,行政类别,地级市
莆田,行政类别,地级市
干果,属 于,单果
鹎科,界,动物界
花蝽,界,动物界
花蝽,科,花蝽科
埃利斯,国籍,英国
埃利斯,运动项目,足球
白内障,季节分布,四季
白内障,传染病,否
白内障,疫苗预防,否
白内障,就诊科室,五官科
白内障,发病部位,眼
约数,别名,因数
婆罗门参,界,植物界
婆罗门参,亚科,舌状花亚科
前缀,外文名,prefix
前缀,反义词,后缀
药用萝芙木,界,植物界
Baton,制片地点,日本
三岔河,开放时间,全天
夏初,国籍,中国
细小病毒,季节分布,四季
细小病毒,传染病,是
细小病毒,疫苗预防,否
细小病毒,就诊科室,内科
1958年,分类,时间
朝,笔画,12
朝,部首,月
朝,部首笔划,4
朝,释义,早晨
朝,近义词,晨
朝,反义词,暮
朝,结构,左右
苦蕺,界,植物界
苦蕺,纲,双子叶植物纲
苦蕺,目,茄目
苦蕺,科,茄科
苦蕺,属,茄属
白平,民族,彝族
白平,国籍,中国
白平,职业,摄影师
茶单宁,中文名,茶多酚
茶单宁,是否处方药,否
北部湾,气候条件,热带季风气候
龙眼,界,植物界
龙眼,门,被子植物门
龙眼,纲,双子叶植物纲
龙眼,目,无患子目
龙眼,科,无患子科
龙眼,属,龙眼属
甘蔗黄螟,界,动物界
甘蔗黄螟,纲,昆虫纲
甘蔗黄螟,目,鳞翅目
毒隐翅虫,门,节肢动物门
毒隐翅虫,界,动物界
毒隐翅虫,科,隐翅虫科
毒隐翅虫,目,鞘翅目
毒隐翅虫,亚 纲,昆虫纲
棉尖象,界,动物界
棉尖象,纲,昆虫纲
棉尖象,目,鞘翅目
棉尖象,科,象甲科
内核,英文名,kernel
内核,类 别,软件
石龙藤,中文学名,络石
石龙藤,界,植物界
肾阳虚,传染病,否
蜻蜓目,别名,蜻蛉目
蜻蜓目,界,动物界
癞葡萄,中文学名,苦瓜
癞葡萄,界,植物界
癞葡萄,门,被子植物门
癞葡萄,纲,双子叶植物纲
癞葡萄,目,葫芦目
癞葡萄,科,葫芦科
癞葡萄,属,苦瓜属
癞葡萄,种,苦瓜
瓜片,中文学名,六安瓜片
瓜片,界,植物界
瓜片,茶叶类别,绿茶
茶籽油,界,植物界
茶籽油,科,山茶科
茶籽油,属,山茶属
茶籽油,种,山茶
甲A,赛事项目,足球
甲A,创办时间,1989年
怀特,国籍,澳大利亚
怀特,运动项目,足球
怀特,性别,男
怀特,场上位置,后卫
鲭,中文学名,青鱼
鲭,界,动物界
鲭,门,脊索动物门
鲭,目,鲤形目
鲭,科,鲤科
鲭,种,青鱼
天花病毒,病毒来源,家畜
天花病毒,界,病毒界
汜,笔画,6
南极,气候特点,冰原气候
颜料,作者,半夏
僵蚕,中文名,白僵蚕
僵蚕,界,动物界
僵蚕,纲,昆虫纲
僵蚕,目,鳞翅目
僵蚕,科,蚕蛾科
盐湖,所在地,固原
盐湖,开放时间,全天
盐湖,票价,35
樯,笔画,15
樯,部首,木
大业,籍贯,河南省
大业,国籍,中国
洋梅花,中文学名,福禄考
洋梅花,界,植物界
洋梅花,种,福禄考
嫩江,地理位置,黑龙江省
牛心荔,界,植物界
聚糖,类别,复合物
痉挛,发病部位,全身
痉挛,俗称,抽筋
蚤状溞,界,动物界
蚤状溞,门,节肢动物门
蚤状溞,纲,甲壳纲
蚤状溞,目,枝角目
风尚,品牌,陆风
木笔,中文学名,紫玉兰
木笔,界,植物界
食品化学,开本,16
年轮,专辑语言,国语
年轮,曲目数量,10
扫帚,别 名,笤帚
扫帚,词 性,名词
泾川,行政类别,县
火帽,其他外文名,percussion cap
麦考密克,出生地,美国
麦考密克,国籍,美国
鳄蜥,界,动物界
鳄蜥,纲,爬行纲
鳄蜥,目,蜥蜴目
香豆子,中文学名,胡芦巴
香豆子,界,植物界
香豆子,门,被子植物门
香豆子,纲,单子叶植物纲
香豆子,目,豆目
香豆子,科,豆科
香豆子,亚科,蝶形花亚科
荷兰,货币,欧元
荷兰,国鸟,白琵鹭
荷兰,国花,郁金香
荷兰,所属洲,欧洲
荷兰,国庆日,4月30日
荷兰,主要民族,荷兰人
荷兰,首都,阿姆斯特丹
荷兰,国 石,钻石
鹘,笔画,14
鹘,部首,鸟
秀水,别称,臭水
秀水,流入地,运河
秀水,所在地,呼伦贝尔
红花除虫菊,界,植物界
会长,英文名,President
费利克斯,国籍,墨西哥
霸王花,导演,钱升玮
霸王花,语言版本,粤语
凯勒,英文名,Keller
凯勒,国籍,瑞士
奥地利帝国,所属洲,欧洲
奥地利帝国,国庆日,1804年
奥地利帝国,政体,君主制
奥地利帝国,首都,维也纳
意气松,中文学名,落叶松
意气松,界,植物界
甚,笔画,9
甚,部首,甘
胡素,国籍,中国
胡素,职业,军人
胡素,政党,国民党
爆,笔画,19
爆,部首,火
那不勒斯大学,创办时间,1224年
那不勒斯大学,学校类别,私立大学
那不勒斯大学,学校类型,综合
长鼻目,外文名,Proboscidea
长鼻目,界,动物界
普朗克,性别,男
普朗克,国籍,德国
卡彭特,性别,男
卡彭特,国籍,英国
卡彭特,运动项目,足球
木贼属,界,植物界
蚝油牛肉,主要食材,牛肉
丁香蓼,界,植物界
花坛,类 型,园林设施
马齿苋科,界,植物界
沼虾属,界,动物界
山楂酒,主要原料,山楂
山楂酒,是否含防腐剂,否
柞树,中文学名,栎树
柞树,界,植物界
伏尔加格勒,建立时间,1918年
伏尔加格勒,友好城市,莫斯科
伏尔加格勒,地域名人,斯大林
花墙,上映时间,2010年
Spot,国家,法国
益母草,别名,坤草
益母草,界,植物界
瘙,笔画,14
马歇尔,国籍,美国
纵向钢筋,领域,建筑
芽枝霉,界,真菌界
芽枝霉,纲,藻状菌纲
芽枝霉,目,霜霉目
芽枝霉,科,白锈科
菲利普斯,国籍,英国
菲利普斯,职业,运动员
菲利普斯,性别,男
菲利普斯,国籍,英格兰
菲利普斯,运动项目,足球
菲利普斯,效力俱乐部,曼彻斯特城足球俱乐部
千方百计,专辑语言,中文
千方百计,曲目数量,12
酸枣,界,植物界
黄柳,界,植物界
黄柳,属,柳属
甘薯台龟甲,界,动物界
甘薯台龟甲,门,节肢动物门
甘薯台龟甲,纲,昆虫纲
甘薯台龟甲,目,鞘翅目
甘薯台龟甲,科,铁甲科
沈三白,性别,男
沈三白,所处时代,清代
沈三白,出生地,长洲
沈三白,国籍,中国
稻蓟马,界,动物界
王政国,出生日期,1935年
王政国,性别,男
王政国,国籍,中国
福冈县,所属地区,日本
精,笔画,14
精,部首,米
建筑物,统 称,建筑
建筑物,范 畴,固定资产
橘络,界,植物界
橘络,门,被子植物门
橘络,纲,双子叶植物纲
橘络,目,无患子目
橘络,科,芸香科
橘络,属,柑橘属
橘络,种,橘
双翼,性别,男
双翼,职业,作家
异叶爬山虎,界,植物界
睹,笔画,13
睹,部首,目
袖珍椰子,界,植物界
可可,外文名,cacao
可可,界,植物界
黄喉,界,动物界
黄喉,门,脊索动物门
黄喉,亚门,脊椎动物亚门
mar,地区,日本
栗实象甲,界,动物界
栗实象甲,科,象甲科
地坪,公司性质,集体所有制
新化,行政类别,县
连云,火车站,陇海铁路
坯,笔画,8
坯,部首,土
刑,笔画,6
全身,外文名称,body
旺,笔画,8
旺,部首,日
膝,笔画,15
膝,部首,月
义乌,中文名,义乌市
义乌,行政类别,县级市
义乌,行政类别,县级市
蚧壳虫,界,动物界
蚧壳虫,纲,昆虫纲
蚧壳虫,目,同翅目
蚧壳虫,科,盾蚧科
绕龙花,中文学名,茑萝松
绕龙花,别名,羽叶茑萝
绕龙花,界,植物界
绕龙花,种,茑萝松
长蝽科,界,动物界
黑沙蒿,中文学名,油蒿
黑沙蒿,界,植物界
光源,词性,名词
真燕鳐鱼,界,动物界
预,笔画,10
预,部首,页
预,部首笔划,6
苇状羊茅,界,植物界
德鲁斯,性别,男
德鲁斯,运动项目,足球
德鲁斯,出生日期,1990年
脊椎动物亚门,界,动物界
槐树,界,植物界
槐树,门,种子植物门
槐树,纲,双子叶植物纲
槐树,亚纲,蔷薇亚纲
槐树,目,豆目
槐树,科,豆科
槐树,亚科,蝶形花亚科
槐树,属,槐属
槐树,种,槐
三级市场,性质,市场
泰加大树蜂,界,动物界
泰加大树蜂,门,节肢动物门
黄铜,金属类型,合金
南亚枇杷,界,植物界
南亚枇杷,门,被子植物门
南亚枇杷,纲,双子叶植物纲
南亚枇杷,目,蔷薇目
南亚枇杷,科,蔷薇科
南亚枇杷,属,枇杷属
宁夏回族自治区,别称,塞上江南
宁夏回族自治区,行政类别,自治区
宁夏回族自治区,建立时间,1958年
宁夏回族自治区,建造时期,1958年
六味地黄丸,药品类别,中成药
马利筋,界,植物界
透骨草,界,植物界
务,笔画,5
务,部首,力
11,支持语言,简体中文
里科夫,国籍,俄罗斯
周履靖,性别,男
周履靖,所处时代,明代
周履靖,出生日期,1549年
周履靖,去世日期,1640年
周履靖,国籍,中国
首席代表,语种,简体中文
平遥县,地理位置,黄河中游
平遥县,政府驻地,古陶镇
平遥县,行政类别,县
平遥县,行政类别,县
增塑剂,中文名称,塑化剂
垢,笔画,9
垢,部首,土
垢,部首笔划,3
裂褶菌科,界,真菌界
裂褶菌科,种,裂褶菌
特拉华,中文名,特拉华州
特拉华,所属地区,美国
伊斯兰国,所属洲,亚洲
伊斯兰国,国庆日,6月29日
伊斯兰国,政体,君主专制政体
伊斯兰国,主要民族,阿拉伯人
伊斯兰国,主要宗教,伊斯兰教
伊斯兰国,官方语言,阿拉伯语
伊斯兰国,首都,拉卡
伊斯兰国,主要城市,摩苏尔
伊斯兰国,国家领袖,阿布·贝克尔·巴格达迪
粉椴,界,植物界
百合属,界,植物界
百合属,科,百合科
芥子气,闪点,105
交感性眼炎,就诊科室,五官科
交感性眼炎,发病部位,眼
览,笔画,9
览,部首,见
览,部首笔划,4
万寿桥,建造时间,1925年
万寿桥,开放时间,无
短裙,部首,矢
短裙,部首笔划,5
短裙,反义词,长裙
短裙,结构,左右
电子学,研究对象,电子器件
肌苷,别名,次黄嘌呤核苷
王羲之,性别,男
王羲之,外文名,William
王羲之,籍贯,湖南
王羲之,民族,汉
王羲之,国籍,中国
李善兰,所处时代,清朝
李善兰,民族族群,汉族
卢旺达,国花,玫瑰
卢旺达,所属洲,非洲
卢旺达,常用语言,卢旺达语
紫花苜蓿,界,植物界
溥,笔画,13
Fall,类别,爱情
Fall,画面颜色,彩色
Fall,制片地点,美国
海地,货币,古德
海地,国鸟,咬鹃
海地,国花,刺葵
海地,所属洲,北美洲
海地,主要民族,黑人
海地,首都,太子港
海地,国家结构,单一制
李凤岐,性别,男
李凤岐,国籍,中国
李凤岐,民族,汉族
李凤岐,宗教信仰,共产主义
宇田道隆,性别,男
宇田道隆,国籍,日本
宇田道隆,职业,海洋学家
古柯科,界,植物界
栭,笔画,10
栭,部首,木
栭,部首笔划,4
饵,笔画,9
抚河,所在洲,亚洲
抚河,特色物种,南丰蜜橘
抚河,所属水系,鄱阳湖
日照市,所属地区,山东省
日照市,政府驻地,东港区
日照市,行政类别,地级市
银坑,类别,风景名胜
银坑,所在地,温州
大连,中文名,大连市
大连,行政类别,地级市
大连,建立时间,1899年
大眼鲬,界,动物界
垡,笔画,9
垡,部首,土
牧豆树,界,植物界
牧豆树,科,豆科
牧豆树,属,牧豆树属
车书,所处时代,清朝
车书,国籍,中国
荷藕,中文别名,莲藕
荷藕,界,植物界
荷藕,科,睡莲科
超,笔画,12
铁血,成立时间,2001年
More,英文名,more
虎头,级别,其他
虎头,省份,黑龙江
冕宁,中文名,冕宁县
冕宁,行政类别,县
陈抟,民族族群,汉族
陈抟,出生日期,871年
陈抟,国籍,中国
蛀果蛾科,界,动物界
蛀果蛾科,门,节肢动物门
蛀果蛾科,纲,昆虫纲
蛀果蛾科,亚纲,有翅亚纲
蛀果蛾科,目,鳞翅目
新疆贝母,界,植物界
新疆贝母,分布区域,新疆
福寿鱼,界,动物界
福寿鱼,门,脊索动物门
福寿鱼,亚门,脊椎动物亚门
福寿鱼,目,鲈形目
福寿鱼,科,丽鱼科
张戎,出生日期,1952年
张戎,性别,女
张戎,国籍,英国
张戎,出生地,宜宾
软珊瑚,界,动物界
软珊瑚,门,刺胞动物门
软珊瑚,纲,珊瑚虫纲
文艺复兴时期,主要国家,意大利
金日成,国 籍,朝鲜民主主义人民共和国
金日成,民 族,朝鲜族
金日成,信 仰,共产主义
金日成,政 党,朝鲜劳动党
金日成,军 衔,大元帅
崇安,中文名,武夷山市
1630年,类别,年份
驯鹿,别名,角鹿
驯鹿,界,动物界
驯鹿,亚科,空齿鹿亚科
洞庭碧螺春,界,植物界
洞庭碧螺春,种,茶叶
山胡,文学体裁,五言诗
果蔬汁,营养成分,维生素
果蔬汁,防腐剂,否
苦枥白蜡树,界,植物界
苦枥白蜡树,门,被子植物门
苦枥白蜡树,纲,双子叶植物纲
苦枥白蜡树,亚纲,菊亚纲
苦枥白蜡树,目,玄参目
永丰,中文名,永丰县
永丰,地域名人,欧阳修
永丰,机场,井冈山机场
永丰,行政类别,县
永丰,地方方言,赣语
永丰,行政类别,县
永丰,地方方言,赣语
襄县,所属地区,河南省
襄县,下辖地区,城关镇
襄县,建立时间,春秋时期
襄县,行政类别,县
四月,中文名,4月
四月,英文名,April
瘦肉型猪,界,动物界
M25,所属国家,美国
寄存器,英文名,Register
毛柿,界,植物界
榆凤蛾,界,动物界
榆凤蛾,目,鳞翅目
临泉县,政府驻地,城关镇
临泉县,行政类别,县
临泉县,行政类别,县
虫斑,发病部位,面部
虫斑,多发群体,儿童
赛典赤,别称,赛典赤·赡思丁
赛典赤,职业,政治家
赛典赤,出生日期,1211年
赛典赤,去世日期,1279年
滇南本草,页数,977
滇南本草,出版时间,1959年
釉,笔画,12
釉,部首,采
釉,部首笔划,7
苦木,界,植物界
菱粉,出处,本草纲目拾遗
菱粉,来源,菱科
菜心,界,植物界
菜心,门,被子植物门
菜心,纲,双子叶植物纲
菜心,目,白花菜目
菜心,科,十字花科
菜心,属,芸薹属
菜心,草本/木本,草本
迁安,中文名,迁安市
十滴水,剂 型,酊剂
十滴水,药品类型,中药
美国总统,开创元老,乔治·华盛顿
美国总统,尊称,Mr. President
卢龙县,行政类别,县
白琳工夫,用法用量,适量
白琳工夫,防腐剂,否
肾脏,单 位,肾单位
Rhus,中文学名,火炬树
Rhus,界,植物界
Rhus,科,漆树科
Rhus,属,漆树属
兜蝽科,界,动物界
兜蝽科,门,节肢动物门
兜蝽科,纲,昆虫纲
兜蝽科,亚纲,有翅亚纲
兜蝽科,目,半翅目
郝景盛,国籍,中国
回民,宗教信仰,伊斯兰教
回民,起源,元朝
大宛,所属洲,亚洲
大宛,政体,君主制
大宛,常用语言,汉语
大宛,官方语言,汉语
叉丝壳,界,真菌界
叉丝壳,纲,子囊菌纲
叉丝壳,目,白粉菌目
叉丝壳,科,白粉菌科
奠基者,类别,历史
奠基者,上映地区,中国
奠基者,语言版本,中文
清污机,属于,机械设备
寄生蝇,界,动物界
企业管理学,类别,人力资源
企业管理学,语种,中文
黄金桂,别名,黄旦
黄金桂,界,植物界
地勤,同行业,空勤
Nature,中文名,自然
Nature,英文名,nature
白头草,中文学名,白头翁
白头草,界,植物界
大花葱,界,植物界
杜克大学,QS世界排名,25
捕鹰,上映时间,1981年
捕鹰,类别,惊悚
捕鹰,上映地区,美国
美国梧桐,界,植物界
美国梧桐,门,被子植物门
美国梧桐,纲,双子叶植物纲
美国梧桐,亚纲,金缕梅亚纲
美国梧桐,目,山龙眼目
澳洲,货币,澳大利亚元
伯乐,别名,孙阳
伯乐,国籍,中国
伯乐,职业,相马
伯乐,特长,相马
团头鲂,中文学名,武昌鱼
团头鲂,界,动物界
团头鲂,门,脊索动物门
团头鲂,亚门,脊椎动物亚门
团头鲂,纲,硬骨鱼纲
团头鲂,亚纲,辐鳍亚纲
团头鲂,科,鲤科
旸,笔画,7
旸,部首,日
旸,部首笔划,4
蒂莫,国籍,爱沙尼亚
剑麻,别名,菠萝麻
剑麻,界,植物界
剑麻,门,被子植物门
剑麻,纲,单子叶植物纲
剑麻,目,百合目
剑麻,科,龙舌兰科
剑麻,属,龙舌兰属
白肌病,季节分布,四季
白肌病,传染病,是
白肌病,疫苗预防,是
白肌病,就诊科室,内科
白肌病,最初记载,1863年
永嘉,别称,瓯
永嘉,建立时间,589年
永嘉,行政类别,县
永嘉,行政类别,县
地血,中文学名,紫草
地血,界,植物界
绿洲,导演,李沧东
绿洲,上映地区,韩国
绿洲,画面颜色,彩色
绿洲,制片地点,韩国
Mason,国籍,韩国
长春蔓,界,植物界
椅,类型,家具
射阳县,知名产业,化学工业
射阳县,行政类别,县
射阳县,行政类别,县
武力,国籍,中国
痧,笔画,12
梨眼天牛,界,动物界
梨眼天牛,门,节肢动物门
梨眼天牛,纲,昆虫纲
梨眼天牛,目,鞘翅目
梨眼天牛,科,天牛科
印刷品,语言,中文
印刷品,类别,简体
印刷品,主管单位,新华社
印刷品,主办单位,新华社
印刷品,编辑单位,新华社
印刷品,出版周期,半月刊
深圳,中文名,深圳市
深圳,行政类别,地级市
深圳,地方方言,粤语
深圳,行政类别,计划单列市
新赫布里底群岛,所属洲,大洋洲
新赫布里底群岛,主要民族,瓦努阿图
新赫布里底群岛,主要宗教,基督教
新赫布里底群岛,常用语言,比斯拉马语
新赫布里底群岛,首都,维拉港
新赫布里底群岛,主要城市,维拉港
桄榔属,界,植物界
柠檬酸循环,中文名,三羧酸循环
柠檬酸循环,别名,TCA循环
柠檬酸循环,领域,生物化学
