city,relation,weather
阿拉山口市,气候,大陆性温带气候
定西市,气候,中温带半干旱区
建德市,气候,亚热带季风性气候
庆阳市,气候,温带大陆性季风气候
佳木斯市,气候,温带大陆性气候
吴川市,气候,亚热带季风气候为主
潜江市,气候,亚热带季风性湿润气候
随州市,气候,亚热带季风气候
本溪市,气候,温带大陆性季风气候
庄河市,气候,温带季风性气候
太原市,气候,温带季风性气候
什邡市,气候,亚热带季风气候
江门市,气候,亚热带季风气候
肇庆市,气候,亚热带季风气候
金华市,气候,亚热带季风气候
侯马市,气候,温带季风气候
宿迁市,气候,温带季风性气候
重庆市,气候,亚热带季风性湿润气候
漠河市,气候,寒温带大陆性季风气候
尚志市,气候,中温带大陆性季风气候
句容市,气候,亚热带季风气候
武穴市,气候,亚热带季风性湿润气候
天长市,气候,北亚热带向暖温带过渡性气候
临沧市,气候,亚热带山地季风气候
汉川市,气候,亚热带季风气候
银川市,气候,中温带大陆性气候
南阳市,气候,季风大陆半湿润气候
铁岭市,气候,中温带大陆性季风气候
岑溪市,气候,亚热带季风气候
许昌市,气候,温带季风性气候
满洲里市,气候,寒温带气候
北流市,气候,南亚热带季风气候
张掖市,气候,夏季干燥，温度较低
松原市,气候,中温带大陆性季风气候
简阳市,气候,亚热带季风气候
江阴市,气候,亚热带季风气候
安阳市,气候,暖温带大陆性季风气候
唐山市,气候,暖温带大陆性季风气候
西昌市,气候,亚热带高原季风气候
乐昌市,气候,亚热带季风气候
河池市,气候,亚热带季风气候
宣城市,气候,亚热带湿润季风气候
中卫市,气候,温带大陆性气候
都匀市,气候,亚热带季风湿润气候
晋中市,气候,温带季风气候
天水市,气候,暖温带半湿润半干旱气候
辽源市,气候,温带季风性气候
枣庄市,气候,温带大陆性季风气候
桐乡市,气候,亚热带季风气候
四平市,气候,中温带湿润季风气候区
奎屯市,气候,温带大陆性干旱气候
周口市,气候,亚热带季风气候
文昌市,气候,热带季风岛屿型气候
万宁市,气候,热带季风气候
无锡市,气候,亚热带季风气候
益阳市,气候,亚热带大陆性季风湿润气候
清远市,气候,亚热带季风气候
汕尾市,气候,亚热带季风气候
偃师市,气候,亚热带季风气候
铜仁市,气候,亚热带季风气候
咸阳市,气候,温带大陆性季风型气候
西宁市,气候,高原大陆性气候
荆州市,气候,亚热带季风气候
宁国市,气候,亚热带季风气候
泰安市,气候,温带半湿润大陆性季风气候
靖西市,气候,亚热带季风气候
丹阳市,气候,亚热带季风气候
营口市,气候,暖温带大陆性季风气候
延吉市,气候,中温带半湿润气候区
怀化市,气候,亚热带季风性湿润气候
鞍山市,气候,温带季风气候
宜昌市,气候,亚热带季风性湿润气候
孝感市,气候,亚热带季风气候
廉江市,气候,亚热带（或热带）季风气候
平凉市,气候,陇东温和半湿润农业气候区
黄冈市,气候,亚热带季风气候
桂林市,气候,亚热带季风气候
惠州市,气候,亚热带海洋性季风气候
哈尔滨市,气候,中温带大陆性季风气候
辽阳市,气候,温带湿润性季风气候
自贡市,气候,中亚热带湿润季风气候区
东台市,气候,亚热带和暖温带季风气候
邢台市,气候,温带季风气候
绥化市,气候,中温带大陆性季风气候
青岛市,气候,温带季风气候
靖江市,气候,亚热带季风气候
山南市,气候,温带干旱性高原气候
郴州市,气候,亚热带季风气候
遵义市,气候,亚热带季风性湿润气候
英德市,气候,亚热带季风气候
老河口市,气候,亚热带季风气候
江油市,气候,中亚热带湿润季风气候
南宁市,气候,亚热带季风气候
泰州市,气候,亚热带季风气候
台山市,气候,亚热带海洋性季风气候
醴陵市,气候,亚热带季风气候
合肥市,气候,亚热带季风气候
大理市,气候,低纬度高原季风气候
永安市,气候,亚热带季风气候
慈溪市,气候,亚热带季风气候
保山市,气候,温带气候
内江市,气候,亚热带季风气候
襄阳市,气候,亚热带季风气候
兴化市,气候,亚热带温润季风气候
丹江口市,气候,光照充足
丹江口市,气候,雨热同季
丹江口市,气候,相对湿度大
和龙市,气候,温带季风半湿润气候
安庆市,气候,亚热带季风性湿润气候
天门市,气候,亚热带季风气候
高平市,气候,温带季风气候
克拉玛依市,气候,温带沙漠气候
呼伦贝尔市,气候,温带季风气候和温带大陆性气候
荣成市,气候,暖温带季风型湿润气候区
汉中市,气候,北亚热带湿润季风气候
寿光市,气候,暖温带季风区大陆性气候
北镇市,气候,温带季风气候
溧阳市,气候,亚热带季风气候
介休市,气候,温带季风气候
喀什市,气候,暖温带大陆性干旱气候
河间市,气候,温带季风气候
蚌埠市,气候,亚热带季风气候
晋城市,气候,暖温带半湿润大陆性季风气候
扬州市,气候,亚热带季风性气候
阜新市,气候,大陆性气候
安顺市,气候,亚热带季风气候
威海市,气候,北暖温带季风型大陆性气候
抚州市,气候,亚热带季风气候
钦州市,气候,带海洋性的热带季风气候
娄底市,气候,中亚热带大陆性季风湿润气候
东港市,气候,温带湿润地区大陆性季风气候
黑河市,气候,寒温带大陆性季风气候
石河子市,气候,大陆性高原气候
玉门市,气候,大陆性中温带干旱气候
广州市,气候,亚热带季风气候
梅州市,气候,亚热带季风气候
宿州市,气候,北亚热带和暖温带过渡区
建瓯市,气候,亚热带湿润性气候
玉溪市,气候,亚热带季风气候
承德市,气候,温带季风气候
潜山市,气候,北亚热带季风气候
阳江市,气候,亚热带季风气候
烟台市,气候,温带季风气候
博乐市,气候,大陆性温带干旱气候
邵阳市,气候,亚热带季风性湿润气候
龙口市,气候,温带季风气候
凤城市,气候,温带季风气候
宜都市,气候,亚热带季风气候
淮北市,气候,暖温带半湿润季风气候
和田市,气候,温带大陆性气候
伊春市,气候,中温带大陆性季风气候
晋江市,气候,亚热带季风气候
辉县市,气候,暖温带大陆性季风气候
保定市,气候,暖温带大陆性气候
丽江市,气候,温带气候
眉山市,气候,亚热带季风气候
海门市,气候,亚热带季风气候
潍坊市,气候,北温带季风区
丹东市,气候,中温带和暖温带湿润性季风气候
麻城市,气候,亚热带季风气候
台中市,气候,副热带气候
台中市,气候,亚热带气候
南通市,气候,北亚热带和暖温带季风气候
潮州市,气候,亚热带海洋性季风气候
景洪市,气候,热带雨林气候
南昌市,气候,亚热带季风湿润气候
济宁市,气候,暖温带季风气候
泰兴市,气候,亚热带季风气候
永城市,气候,暖温带季风性半湿润气候
东莞市,气候,亚热带季风气候
图们市,气候,温带季风气候
晋州市,气候,暖温带大陆性季风气候
石嘴山市,气候,温带大陆性气候
天津市,气候,暖温带半湿润季风性气候
长春市,气候,温带季风气候
集安市,气候,温带季风气候
龙泉市,气候,亚热带季风气候
榆林市,气候,温带半干旱大陆性季风气候
石家庄市,气候,温带季风气候
平度市,气候,温带季风气候
昌吉市,气候,大陆性干旱气候
福清市,气候,亚热带季风气候
秦皇岛市,气候,暖温带半湿润大陆性季风气候
南京市,气候,亚热带季风气候
化州市,气候,亚热带季风气候
邳州市,气候,温带季风气候
开原市,气候,北温带季风型大陆性气候
宜城市,气候,亚热带季风性湿润气候
平湖市,气候,亚热带季风性湿润气候
龙岩市,气候,亚热带季风气候
禹城市,气候,暖温带大陆季风气候
阿勒泰市,气候,温带大陆性气候
曲靖市,气候,亚热带高原季风气候
衡水市,气候,温带季风气候
德惠市,气候,北温带大陆性季风气候
枣阳市,气候,亚热带大陆性季风气候
兴义市,气候,亚热带湿润温和型气候
浏阳市,气候,亚热带季风湿润气候
仁怀市,气候,亚热带湿润季风气候
蒙自市,气候,亚热带季风气候
梧州市,气候,亚热带季风气候
当阳市,气候,亚热带季风性湿润气候
济源市,气候,暖温带大陆性季风气候
六盘水市,气候,亚热带湿润季风气候
穆棱市,气候,温带大陆性季风气候
宝鸡市,气候,温带季风气候
贵溪市,气候,亚热带季风气候
百色市,气候,亚热带季风气候
高密市,气候,暖温带半湿润季风气候
栖霞市,气候,温带季风气候
昭通市,气候,干燥季风气候
广元市,气候,亚热带湿润季风气候
启东市,气候,北亚热带湿润气候区
开平市,气候,亚热带季风气候
黄石市,气候,亚热带季风气候
茂名市,气候,亚热带季风性湿润气候
南安市,气候,亚热带海洋性季风气候
库尔勒市,气候,暖温带大陆性干旱气候
张家界市,气候,中亚热带山原型季风性湿润气候
滁州市,气候,北亚热带湿润性季风气候
诸暨市,气候,亚热带季风气候
沁阳市,气候,温带大陆性季风气候
泸州市,气候,亚热带季风性湿润气候
吉安市,气候,亚热带季风气候
磐石市,气候,温带大陆性季风天气
新郑市,气候,暖温带大陆性季风气候
连云港市,气候,温带季风气候
三门峡市,气候,暖温带大陆性季风气候
仪征市,气候,北亚热带季风气候
运城市,气候,暖温带半湿润大陆性季风气候
青铜峡市,气候,中温带大陆性气候
桂平市,气候,亚热带季风气候
项城市,气候,暖温带和亚热带季风气候过渡区
资阳市,气候,中亚热带湿润季风气候区
新余市,气候,亚热带季风气候
河源市,气候,亚热带季风性气候
淮安市,气候,暖温带向亚热带的过渡性气候
台南市,气候,热带和亚热带气候
武威市,气候,温带大陆性气候
白城市,气候,温带大陆性气候
柳州市,气候,亚热带季风气候
连州市,气候,亚热带季风气候
东宁市,气候,温带大陆性季风气候
温岭市,气候,亚热带季风气候
讷河市,气候,温带季风气候
诸城市,气候,北温带季风性气候
宁波市,气候,亚热带季风气候
衡阳市,气候,亚热带季风气候
资兴市,气候,亚热带温湿气候
彭州市,气候,亚热带湿润气候
丰城市,气候,气候温和，四季分明
荆门市,气候,亚热带季风气候
余姚市,气候,亚热带季风性气候
